tubeID,Sp1,Sp2,Sp1_Dens,Sp2_Dens,Repeat,Treatment,Block,Combn,Column,Row,Tray,RowBlock,Rows_Box,Cols_Box,BoxNum
463,PAL,   ,1,NA,g,Cold Para,A,PAL   ,1,1,1,Lower,9,7,2
529,PAL,   ,9,NA,a,Cold Para,A,PAL   ,1,2,1,Lower,8,4,2
466,PAL,   ,1,NA,j,Cold Para,A,PAL   ,1,3,1,Lower,8,6,2
556,PAL,   ,15,NA,d,Cold Para,A,PAL   ,1,4,1,Lower,12,2,2
532,PAL,   ,9,NA,d,Cold Para,A,PAL   ,1,5,1,Lower,9,1,2
553,PAL,   ,15,NA,a,Cold Para,A,PAL   ,1,6,1,Upper,10,4,1
508,PAL,   ,3,NA,d,Cold Para,A,PAL   ,1,7,1,Upper,11,2,1
457,PAL,   ,1,NA,a,Cold Para,A,PAL   ,1,8,1,Upper,12,2,1
460,PAL,   ,1,NA,d,Cold Para,A,PAL   ,1,9,1,Upper,13,2,1
505,PAL,   ,3,NA,a,Cold Para,A,PAL   ,1,10,1,Upper,12,1,1
1069,PAN,   ,9,NA,a,Cold Para,A,PAN   ,2,1,1,Lower,11,3,2
1006,PAN,   ,1,NA,j,Cold Para,A,PAN   ,2,2,1,Lower,11,6,2
1093,PAN,   ,15,NA,a,Cold Para,A,PAN   ,2,3,1,Lower,12,7,2
1045,PAN,   ,3,NA,a,Cold Para,A,PAN   ,2,4,1,Lower,10,3,2
997,PAN,   ,1,NA,a,Cold Para,A,PAN   ,2,5,1,Lower,9,2,2
1072,PAN,   ,9,NA,d,Cold Para,A,PAN   ,2,6,1,Upper,12,5,1
1000,PAN,   ,1,NA,d,Cold Para,A,PAN   ,2,7,1,Upper,11,4,1
1096,PAN,   ,15,NA,d,Cold Para,A,PAN   ,2,8,1,Upper,10,7,1
1048,PAN,   ,3,NA,d,Cold Para,A,PAN   ,2,9,1,Upper,10,5,1
1003,PAN,   ,1,NA,g,Cold Para,A,PAN   ,2,10,1,Upper,12,6,1
1120,PSA,   ,1,NA,d,Cold Para,A,PSA   ,3,1,1,Lower,10,5,2
1165,PSA,   ,3,NA,a,Cold Para,A,PSA   ,3,2,1,Lower,9,5,2
1123,PSA,   ,1,NA,g,Cold Para,A,PSA   ,3,3,1,Lower,8,5,2
1192,PSA,   ,9,NA,d,Cold Para,A,PSA   ,3,4,1,Lower,9,6,2
1189,PSA,   ,9,NA,a,Cold Para,A,PSA   ,3,5,1,Lower,11,5,2
1702,SUL,   ,1,NA,j,Cold Para,A,SUL   ,3,6,1,Upper,10,1,1
1696,SUL,   ,1,NA,d,Cold Para,A,SUL   ,3,7,1,Upper,10,2,1
1789,SUL,   ,15,NA,a,Cold Para,A,SUL   ,3,8,1,Upper,13,3,1
1699,SUL,   ,1,NA,g,Cold Para,A,SUL   ,3,9,1,Upper,9,6,1
1765,SUL,   ,9,NA,a,Cold Para,A,SUL   ,3,10,1,Upper,11,6,1
1369,SIM,   ,3,NA,a,Cold Para,A,SIM   ,4,1,1,Lower,10,7,2
1393,SIM,   ,9,NA,a,Cold Para,A,SIM   ,4,2,1,Lower,10,1,2
1417,SIM,   ,15,NA,a,Cold Para,A,SIM   ,4,3,1,Lower,10,2,2
1420,SIM,   ,15,NA,d,Cold Para,A,SIM   ,4,4,1,Lower,12,5,2
1330,SIM,   ,1,NA,j,Cold Para,A,SIM   ,4,5,1,Lower,10,6,2
1321,SIM,   ,1,NA,a,Cold Para,A,SIM   ,4,6,1,Upper,13,1,1
1396,SIM,   ,9,NA,d,Cold Para,A,SIM   ,4,7,1,Upper,11,5,1
1372,SIM,   ,3,NA,d,Cold Para,A,SIM   ,4,8,1,Upper,13,7,1
1327,SIM,   ,1,NA,g,Cold Para,A,SIM   ,4,9,1,Upper,13,4,1
1324,SIM,   ,1,NA,d,Cold Para,A,SIM   ,4,10,1,Upper,9,5,1
97,BIR,   ,15,NA,a,Cold Para,A,BIR   ,5,1,1,Lower,11,7,2
100,BIR,   ,15,NA,d,Cold Para,A,BIR   ,5,2,1,Lower,12,1,2
10,BIR,   ,1,NA,j,Cold Para,A,BIR   ,5,3,1,Lower,10,4,2
73,BIR,   ,9,NA,a,Cold Para,A,BIR   ,5,4,1,Lower,12,3,2
1,BIR,   ,1,NA,a,Cold Para,A,BIR   ,5,5,1,Lower,8,7,2
4,BIR,   ,1,NA,d,Cold Para,A,BIR   ,5,6,1,Upper,10,6,1
49,BIR,   ,3,NA,a,Cold Para,A,BIR   ,5,7,1,Upper,11,3,1
7,BIR,   ,1,NA,g,Cold Para,A,BIR   ,5,8,1,Upper,12,7,1
76,BIR,   ,9,NA,d,Cold Para,A,BIR   ,5,9,1,Upper,13,5,1
52,BIR,   ,3,NA,d,Cold Para,A,BIR   ,5,10,1,Upper,11,1,1
1693,SUL,   ,1,NA,a,Cold Para,A,SUL   ,6,1,1,Lower,11,1,2
1741,SUL,   ,3,NA,a,Cold Para,A,SUL   ,6,2,1,Lower,9,3,2
1792,SUL,   ,15,NA,d,Cold Para,A,SUL   ,6,3,1,Lower,12,6,2
1744,SUL,   ,3,NA,d,Cold Para,A,SUL   ,6,4,1,Lower,12,4,2
1768,SUL,   ,9,NA,d,Cold Para,A,SUL   ,6,5,1,Lower,11,2,2
1168,PSA,   ,3,NA,d,Cold Para,A,PSA   ,6,6,1,Upper,11,7,1
1117,PSA,   ,1,NA,a,Cold Para,A,PSA   ,6,7,1,Upper,12,3,1
1126,PSA,   ,1,NA,j,Cold Para,A,PSA   ,6,8,1,Upper,9,7,1
1216,PSA,   ,15,NA,d,Cold Para,A,PSA   ,6,9,1,Upper,13,6,1
1213,PSA,   ,15,NA,a,Cold Para,A,PSA   ,6,10,1,Upper,10,3,1
1537,SIM,PSA,3,6,a,Cold Para,A,SIMPSA,2,2,2, ,5,6,2
1549,SIM,PSA,3,9,a,Cold Para,A,SIMPSA,2,3,2, ,8,2,2
1597,SIM,PSA,12,3,a,Cold Para,A,SIMPSA,2,4,2, ,5,5,2
1573,SIM,PSA,6,3,a,Cold Para,A,SIMPSA,2,5,2, ,5,1,2
1561,SIM,PSA,3,12,a,Cold Para,A,SIMPSA,2,6,2, ,5,2,2
1525,SIM,PSA,3,3,a,Cold Para,A,SIMPSA,2,7,2, ,5,3,2
1585,SIM,PSA,9,3,a,Cold Para,A,SIMPSA,2,8,2, ,5,7,2
1453,SIM,PAN,3,6,a,Cold Para,A,SIMPAN,3,2,2, ,7,2,2
1501,SIM,PAN,9,3,a,Cold Para,A,SIMPAN,3,3,2, ,7,5,2
1513,SIM,PAN,12,3,a,Cold Para,A,SIMPAN,3,4,2, ,7,1,2
1489,SIM,PAN,6,3,a,Cold Para,A,SIMPAN,3,5,2, ,7,6,2
1441,SIM,PAN,3,3,a,Cold Para,A,SIMPAN,3,6,2, ,7,7,2
1465,SIM,PAN,3,9,a,Cold Para,A,SIMPAN,3,7,2, ,7,3,2
1477,SIM,PAN,3,12,a,Cold Para,A,SIMPAN,3,8,2, ,8,3,2
685,PAL,PAN,3,9,a,Cold Para,A,PALPAN,4,2,2, ,7,1,1
673,PAL,PAN,3,6,a,Cold Para,A,PALPAN,4,3,2, ,9,3,1
721,PAL,PAN,9,3,a,Cold Para,A,PALPAN,4,4,2, ,7,7,1
733,PAL,PAN,12,3,a,Cold Para,A,PALPAN,4,5,2, ,7,5,1
661,PAL,PAN,3,3,a,Cold Para,A,PALPAN,4,6,2, ,7,3,1
697,PAL,PAN,3,12,a,Cold Para,A,PALPAN,4,7,2, ,7,2,1
709,PAL,PAN,6,3,a,Cold Para,A,PALPAN,4,8,2, ,7,6,1
1945,SUL,PSA,6,3,a,Cold Para,A,SULPSA,5,2,2, ,4,6,1
1957,SUL,PSA,9,3,a,Cold Para,A,SULPSA,5,3,2, ,4,5,1
1897,SUL,PSA,3,3,a,Cold Para,A,SULPSA,5,4,2, ,4,1,1
1969,SUL,PSA,12,3,a,Cold Para,A,SULPSA,5,5,2, ,4,4,1
1933,SUL,PSA,3,12,a,Cold Para,A,SULPSA,5,6,2, ,4,3,1
1909,SUL,PSA,3,6,a,Cold Para,A,SULPSA,5,7,2, ,4,2,1
1921,SUL,PSA,3,9,a,Cold Para,A,SULPSA,5,8,2, ,4,7,1
169,BIR,PAN,6,3,a,Cold Para,A,BIRPAN,6,2,2, ,2,6,1
157,BIR,PAN,3,12,a,Cold Para,A,BIRPAN,6,3,2, ,2,2,1
121,BIR,PAN,3,3,a,Cold Para,A,BIRPAN,6,4,2, ,2,3,1
145,BIR,PAN,3,9,a,Cold Para,A,BIRPAN,6,5,2, ,2,1,1
193,BIR,PAN,12,3,a,Cold Para,A,BIRPAN,6,6,2, ,2,7,1
133,BIR,PAN,3,6,a,Cold Para,A,BIRPAN,6,7,2, ,2,5,1
181,BIR,PAN,9,3,a,Cold Para,A,BIRPAN,6,8,2, ,9,1,1
793,PAL,PSA,6,3,a,Cold Para,A,PALPSA,7,2,2, ,5,3,1
781,PAL,PSA,3,12,a,Cold Para,A,PALPSA,7,3,2, ,5,1,1
757,PAL,PSA,3,6,a,Cold Para,A,PALPSA,7,4,2, ,5,7,1
745,PAL,PSA,3,3,a,Cold Para,A,PALPSA,7,5,2, ,5,5,1
817,PAL,PSA,12,3,a,Cold Para,A,PALPSA,7,6,2, ,5,2,1
805,PAL,PSA,9,3,a,Cold Para,A,PALPSA,7,7,2, ,5,6,1
769,PAL,PSA,3,9,a,Cold Para,A,PALPSA,7,8,2, ,9,2,1
961,PAL,SUL,6,3,a,Cold Para,A,PALSUL,8,2,2, ,1,7,2
937,PAL,SUL,3,9,a,Cold Para,A,PALSUL,8,3,2, ,1,6,2
913,PAL,SUL,3,3,a,Cold Para,A,PALSUL,8,4,2, ,1,1,2
973,PAL,SUL,9,3,a,Cold Para,A,PALSUL,8,5,2, ,1,3,2
985,PAL,SUL,12,3,a,Cold Para,A,PALSUL,8,6,2, ,1,2,2
925,PAL,SUL,3,6,a,Cold Para,A,PALSUL,8,7,2, ,1,5,2
949,PAL,SUL,3,12,a,Cold Para,A,PALSUL,8,8,2, ,1,4,2
865,PAL,SIM,3,12,a,Cold Para,A,PALSIM,1,2,3, ,1,1,1
853,PAL,SIM,3,9,a,Cold Para,A,PALSIM,1,3,3, ,1,4,1
901,PAL,SIM,12,3,a,Cold Para,A,PALSIM,1,4,3, ,1,6,1
829,PAL,SIM,3,3,a,Cold Para,A,PALSIM,1,5,3, ,1,2,1
841,PAL,SIM,3,6,a,Cold Para,A,PALSIM,1,6,3, ,1,3,1
889,PAL,SIM,9,3,a,Cold Para,A,PALSIM,1,7,3, ,1,7,1
877,PAL,SIM,6,3,a,Cold Para,A,PALSIM,1,8,3, ,1,5,1
601,PAL,BIR,3,9,a,Cold Para,A,PALBIR,2,2,3, ,6,7,1
625,PAL,BIR,6,3,a,Cold Para,A,PALBIR,2,3,3, ,6,4,1
637,PAL,BIR,9,3,a,Cold Para,A,PALBIR,2,4,3, ,6,5,1
613,PAL,BIR,3,12,a,Cold Para,A,PALBIR,2,5,3, ,6,2,1
649,PAL,BIR,12,3,a,Cold Para,A,PALBIR,2,6,3, ,6,3,1
577,PAL,BIR,3,3,a,Cold Para,A,PALBIR,2,7,3, ,6,1,1
589,PAL,BIR,3,6,a,Cold Para,A,PALBIR,2,8,3, ,6,6,1
433,BIR,SUL,9,3,a,Cold Para,A,BIRSUL,3,2,3, ,3,6,2
409,BIR,SUL,3,12,a,Cold Para,A,BIRSUL,3,3,3, ,3,1,2
397,BIR,SUL,3,9,a,Cold Para,A,BIRSUL,3,4,3, ,3,4,2
421,BIR,SUL,6,3,a,Cold Para,A,BIRSUL,3,5,3, ,3,3,2
385,BIR,SUL,3,6,a,Cold Para,A,BIRSUL,3,6,3, ,3,2,2
445,BIR,SUL,12,3,a,Cold Para,A,BIRSUL,3,7,3, ,3,7,2
373,BIR,SUL,3,3,a,Cold Para,A,BIRSUL,3,8,3, ,3,5,2
1885,SUL,PAN,12,3,a,Cold Para,A,SULPAN,4,2,3, ,2,3,2
1873,SUL,PAN,9,3,a,Cold Para,A,SULPAN,4,3,3, ,2,1,2
1861,SUL,PAN,6,3,a,Cold Para,A,SULPAN,4,4,3, ,2,6,2
1813,SUL,PAN,3,3,a,Cold Para,A,SULPAN,4,5,3, ,2,7,2
1837,SUL,PAN,3,9,a,Cold Para,A,SULPAN,4,6,3, ,2,5,2
1849,SUL,PAN,3,12,a,Cold Para,A,SULPAN,4,7,3, ,8,1,2
1825,SUL,PAN,3,6,a,Cold Para,A,SULPAN,4,8,3, ,2,2,2
1669,SIM,SUL,9,3,a,Cold Para,A,SIMSUL,5,2,3, ,3,2,1
1633,SIM,SUL,3,9,a,Cold Para,A,SIMSUL,5,3,3, ,3,7,1
1621,SIM,SUL,3,6,a,Cold Para,A,SIMSUL,5,4,3, ,3,4,1
1609,SIM,SUL,3,3,a,Cold Para,A,SIMSUL,5,5,3, ,3,1,1
1645,SIM,SUL,3,12,a,Cold Para,A,SIMSUL,5,6,3, ,3,3,1
1657,SIM,SUL,6,3,a,Cold Para,A,SIMSUL,5,7,3, ,3,5,1
1681,SIM,SUL,12,3,a,Cold Para,A,SIMSUL,5,8,3, ,3,6,1
1237,PSA,PAN,3,3,a,Cold Para,A,PSAPAN,6,2,3, ,4,7,2
1273,PSA,PAN,3,12,a,Cold Para,A,PSAPAN,6,3,3, ,4,1,2
1285,PSA,PAN,6,3,a,Cold Para,A,PSAPAN,6,4,3, ,4,3,2
1309,PSA,PAN,12,3,a,Cold Para,A,PSAPAN,6,5,3, ,4,4,2
1249,PSA,PAN,3,6,a,Cold Para,A,PSAPAN,6,6,3, ,4,5,2
1261,PSA,PAN,3,9,a,Cold Para,A,PSAPAN,6,7,3, ,4,2,2
1297,PSA,PAN,9,3,a,Cold Para,A,PSAPAN,6,8,3, ,4,6,2
253,BIR,PSA,6,3,a,Cold Para,A,BIRPSA,7,2,3, ,6,1,2
217,BIR,PSA,3,6,a,Cold Para,A,BIRPSA,7,3,3, ,6,2,2
229,BIR,PSA,3,9,a,Cold Para,A,BIRPSA,7,4,3, ,6,3,2
205,BIR,PSA,3,3,a,Cold Para,A,BIRPSA,7,5,3, ,6,4,2
277,BIR,PSA,12,3,a,Cold Para,A,BIRPSA,7,6,3, ,6,5,2
241,BIR,PSA,3,12,a,Cold Para,A,BIRPSA,7,7,3, ,6,6,2
265,BIR,PSA,9,3,a,Cold Para,A,BIRPSA,7,8,3, ,6,7,2
361,BIR,SIM,12,3,a,Cold Para,A,BIRSIM,8,2,3, ,8,5,1
301,BIR,SIM,3,6,a,Cold Para,A,BIRSIM,8,3,3, ,8,7,1
313,BIR,SIM,3,9,a,Cold Para,A,BIRSIM,8,4,3, ,8,4,1
325,BIR,SIM,3,12,a,Cold Para,A,BIRSIM,8,5,3, ,8,1,1
349,BIR,SIM,9,3,a,Cold Para,A,BIRSIM,8,6,3, ,8,3,1
337,BIR,SIM,6,3,a,Cold Para,A,BIRSIM,8,7,3, ,8,6,1
289,BIR,SIM,3,3,a,Cold Para,A,BIRSIM,8,8,3, ,8,2,1
1138,PSA,   ,1,NA,j,Cold Safe,A,PSA   ,1,1,1,Lower,12,6,2
1174,PSA,   ,3,NA,d,Cold Safe,A,PSA   ,1,2,1,Lower,8,5,2
1198,PSA,   ,9,NA,d,Cold Safe,A,PSA   ,1,3,1,Lower,9,5,2
1195,PSA,   ,9,NA,a,Cold Safe,A,PSA   ,1,4,1,Lower,9,3,2
1132,PSA,   ,1,NA,d,Cold Safe,A,PSA   ,1,5,1,Lower,10,1,2
1378,SIM,   ,3,NA,d,Cold Safe,A,SIM   ,1,6,1,Upper,10,4,1
1402,SIM,   ,9,NA,d,Cold Safe,A,SIM   ,1,7,1,Upper,11,7,1
1375,SIM,   ,3,NA,a,Cold Safe,A,SIM   ,1,8,1,Upper,11,3,1
1423,SIM,   ,15,NA,a,Cold Safe,A,SIM   ,1,9,1,Upper,13,3,1
1342,SIM,   ,1,NA,j,Cold Safe,A,SIM   ,1,10,1,Upper,10,1,1
16,BIR,   ,1,NA,d,Cold Safe,A,BIR   ,2,1,1,Lower,12,5,2
22,BIR,   ,1,NA,j,Cold Safe,A,BIR   ,2,2,1,Lower,11,1,2
106,BIR,   ,15,NA,d,Cold Safe,A,BIR   ,2,3,1,Lower,9,6,2
82,BIR,   ,9,NA,d,Cold Safe,A,BIR   ,2,4,1,Lower,11,5,2
19,BIR,   ,1,NA,g,Cold Safe,A,BIR   ,2,5,1,Lower,8,7,2
1102,PAN,   ,15,NA,d,Cold Safe,A,PAN   ,2,6,1,Upper,12,2,1
1075,PAN,   ,9,NA,a,Cold Safe,A,PAN   ,2,7,1,Upper,12,7,1
1015,PAN,   ,1,NA,g,Cold Safe,A,PAN   ,2,8,1,Upper,11,4,1
1009,PAN,   ,1,NA,a,Cold Safe,A,PAN   ,2,9,1,Upper,10,2,1
1012,PAN,   ,1,NA,d,Cold Safe,A,PAN   ,2,10,1,Upper,13,2,1
1798,SUL,   ,15,NA,d,Cold Safe,A,SUL   ,3,1,1,Lower,10,3,2
1705,SUL,   ,1,NA,a,Cold Safe,A,SUL   ,3,2,1,Lower,10,6,2
1714,SUL,   ,1,NA,j,Cold Safe,A,SUL   ,3,3,1,Lower,11,3,2
1711,SUL,   ,1,NA,g,Cold Safe,A,SUL   ,3,4,1,Lower,8,6,2
1771,SUL,   ,9,NA,a,Cold Safe,A,SUL   ,3,5,1,Lower,11,6,2
1219,PSA,   ,15,NA,a,Cold Safe,A,PSA   ,3,6,1,Upper,12,3,1
1171,PSA,   ,3,NA,a,Cold Safe,A,PSA   ,3,7,1,Upper,10,7,1
1129,PSA,   ,1,NA,a,Cold Safe,A,PSA   ,3,8,1,Upper,12,1,1
1135,PSA,   ,1,NA,g,Cold Safe,A,PSA   ,3,9,1,Upper,10,6,1
1222,PSA,   ,15,NA,d,Cold Safe,A,PSA   ,3,10,1,Upper,13,1,1
1333,SIM,   ,1,NA,a,Cold Safe,A,SIM   ,4,1,1,Lower,10,5,2
1339,SIM,   ,1,NA,g,Cold Safe,A,SIM   ,4,2,1,Lower,12,3,2
1426,SIM,   ,15,NA,d,Cold Safe,A,SIM   ,4,3,1,Lower,12,2,2
1336,SIM,   ,1,NA,d,Cold Safe,A,SIM   ,4,4,1,Lower,12,7,2
1399,SIM,   ,9,NA,a,Cold Safe,A,SIM   ,4,5,1,Lower,10,2,2
13,BIR,   ,1,NA,a,Cold Safe,A,BIR   ,4,6,1,Upper,12,6,1
55,BIR,   ,3,NA,a,Cold Safe,A,BIR   ,4,7,1,Upper,11,2,1
58,BIR,   ,3,NA,d,Cold Safe,A,BIR   ,4,8,1,Upper,9,5,1
103,BIR,   ,15,NA,a,Cold Safe,A,BIR   ,4,9,1,Upper,13,5,1
79,BIR,   ,9,NA,a,Cold Safe,A,BIR   ,4,10,1,Upper,13,6,1
478,PAL,   ,1,NA,j,Cold Safe,A,PAL   ,5,1,1,Lower,10,7,2
514,PAL,   ,3,NA,d,Cold Safe,A,PAL   ,5,2,1,Lower,10,4,2
559,PAL,   ,15,NA,a,Cold Safe,A,PAL   ,5,3,1,Lower,9,1,2
562,PAL,   ,15,NA,d,Cold Safe,A,PAL   ,5,4,1,Lower,12,1,2
469,PAL,   ,1,NA,a,Cold Safe,A,PAL   ,5,5,1,Lower,9,7,2
475,PAL,   ,1,NA,g,Cold Safe,A,PAL   ,5,6,1,Upper,11,1,1
535,PAL,   ,9,NA,a,Cold Safe,A,PAL   ,5,7,1,Upper,10,5,1
511,PAL,   ,3,NA,a,Cold Safe,A,PAL   ,5,8,1,Upper,13,4,1
472,PAL,   ,1,NA,d,Cold Safe,A,PAL   ,5,9,1,Upper,10,3,1
538,PAL,   ,9,NA,d,Cold Safe,A,PAL   ,5,10,1,Upper,12,5,1
1018,PAN,   ,1,NA,j,Cold Safe,A,PAN   ,6,1,1,Lower,11,2,2
1099,PAN,   ,15,NA,a,Cold Safe,A,PAN   ,6,2,1,Lower,9,2,2
1051,PAN,   ,3,NA,a,Cold Safe,A,PAN   ,6,3,1,Lower,12,4,2
1078,PAN,   ,9,NA,d,Cold Safe,A,PAN   ,6,4,1,Lower,8,4,2
1054,PAN,   ,3,NA,d,Cold Safe,A,PAN   ,6,5,1,Lower,11,7,2
1747,SUL,   ,3,NA,a,Cold Safe,A,SUL   ,6,6,1,Upper,13,7,1
1774,SUL,   ,9,NA,d,Cold Safe,A,SUL   ,6,7,1,Upper,9,6,1
1750,SUL,   ,3,NA,d,Cold Safe,A,SUL   ,6,8,1,Upper,9,7,1
1708,SUL,   ,1,NA,d,Cold Safe,A,SUL   ,6,9,1,Upper,11,5,1
1795,SUL,   ,15,NA,a,Cold Safe,A,SUL   ,6,10,1,Upper,11,6,1
988,PAL,SUL,12,3,a,Cold Safe,A,PALSUL,2,2,2, ,2,7,1
928,PAL,SUL,3,6,a,Cold Safe,A,PALSUL,2,3,2, ,9,1,1
976,PAL,SUL,9,3,a,Cold Safe,A,PALSUL,2,4,2, ,2,2,1
964,PAL,SUL,6,3,a,Cold Safe,A,PALSUL,2,5,2, ,2,5,1
916,PAL,SUL,3,3,a,Cold Safe,A,PALSUL,2,6,2, ,2,1,1
952,PAL,SUL,3,12,a,Cold Safe,A,PALSUL,2,7,2, ,2,3,1
940,PAL,SUL,3,9,a,Cold Safe,A,PALSUL,2,8,2, ,2,6,1
640,PAL,BIR,9,3,a,Cold Safe,A,PALBIR,3,2,2, ,9,3,1
616,PAL,BIR,3,12,a,Cold Safe,A,PALBIR,3,3,2, ,7,6,1
604,PAL,BIR,3,9,a,Cold Safe,A,PALBIR,3,4,2, ,7,7,1
592,PAL,BIR,3,6,a,Cold Safe,A,PALBIR,3,5,2, ,7,5,1
628,PAL,BIR,6,3,a,Cold Safe,A,PALBIR,3,6,2, ,7,3,1
580,PAL,BIR,3,3,a,Cold Safe,A,PALBIR,3,7,2, ,7,1,1
652,PAL,BIR,12,3,a,Cold Safe,A,PALBIR,3,8,2, ,7,2,1
292,BIR,SIM,3,3,a,Cold Safe,A,BIRSIM,4,2,2, ,5,2,1
328,BIR,SIM,3,12,a,Cold Safe,A,BIRSIM,4,3,2, ,5,3,1
340,BIR,SIM,6,3,a,Cold Safe,A,BIRSIM,4,4,2, ,5,7,1
364,BIR,SIM,12,3,a,Cold Safe,A,BIRSIM,4,5,2, ,5,5,1
352,BIR,SIM,9,3,a,Cold Safe,A,BIRSIM,4,6,2, ,5,1,1
316,BIR,SIM,3,9,a,Cold Safe,A,BIRSIM,4,7,2, ,5,6,1
304,BIR,SIM,3,6,a,Cold Safe,A,BIRSIM,4,8,2, ,9,2,1
1684,SIM,SUL,12,3,a,Cold Safe,A,SIMSUL,5,2,2, ,5,1,2
1660,SIM,SUL,6,3,a,Cold Safe,A,SIMSUL,5,3,2, ,8,2,2
1636,SIM,SUL,3,9,a,Cold Safe,A,SIMSUL,5,4,2, ,5,5,2
1648,SIM,SUL,3,12,a,Cold Safe,A,SIMSUL,5,5,2, ,5,7,2
1612,SIM,SUL,3,3,a,Cold Safe,A,SIMSUL,5,6,2, ,5,3,2
1672,SIM,SUL,9,3,a,Cold Safe,A,SIMSUL,5,7,2, ,5,2,2
1624,SIM,SUL,3,6,a,Cold Safe,A,SIMSUL,5,8,2, ,5,6,2
1288,PSA,PAN,6,3,a,Cold Safe,A,PSAPAN,6,2,2, ,3,1,1
1252,PSA,PAN,3,6,a,Cold Safe,A,PSAPAN,6,3,2, ,3,2,1
1276,PSA,PAN,3,12,a,Cold Safe,A,PSAPAN,6,4,2, ,3,6,1
1300,PSA,PAN,9,3,a,Cold Safe,A,PSAPAN,6,5,2, ,3,3,1
1312,PSA,PAN,12,3,a,Cold Safe,A,PSAPAN,6,6,2, ,3,4,1
1264,PSA,PAN,3,9,a,Cold Safe,A,PSAPAN,6,7,2, ,3,7,1
1240,PSA,PAN,3,3,a,Cold Safe,A,PSAPAN,6,8,2, ,3,5,1
1600,SIM,PSA,12,3,a,Cold Safe,A,SIMPSA,7,2,2, ,2,7,2
1528,SIM,PSA,3,3,a,Cold Safe,A,SIMPSA,7,3,2, ,2,5,2
1576,SIM,PSA,6,3,a,Cold Safe,A,SIMPSA,7,4,2, ,2,3,2
1564,SIM,PSA,3,12,a,Cold Safe,A,SIMPSA,7,5,2, ,2,1,2
1588,SIM,PSA,9,3,a,Cold Safe,A,SIMPSA,7,6,2, ,2,6,2
1552,SIM,PSA,3,9,a,Cold Safe,A,SIMPSA,7,7,2, ,8,1,2
1540,SIM,PSA,3,6,a,Cold Safe,A,SIMPSA,7,8,2, ,2,2,2
892,PAL,SIM,9,3,a,Cold Safe,A,PALSIM,8,2,2, ,7,7,2
832,PAL,SIM,3,3,a,Cold Safe,A,PALSIM,8,3,2, ,8,3,2
880,PAL,SIM,6,3,a,Cold Safe,A,PALSIM,8,4,2, ,7,2,2
856,PAL,SIM,3,9,a,Cold Safe,A,PALSIM,8,5,2, ,7,6,2
904,PAL,SIM,12,3,a,Cold Safe,A,PALSIM,8,6,2, ,7,3,2
844,PAL,SIM,3,6,a,Cold Safe,A,PALSIM,8,7,2, ,7,1,2
868,PAL,SIM,3,12,a,Cold Safe,A,PALSIM,8,8,2, ,7,5,2
1912,SUL,PSA,3,6,a,Cold Safe,A,SULPSA,1,2,3, ,1,4,2
1960,SUL,PSA,9,3,a,Cold Safe,A,SULPSA,1,3,3, ,1,2,2
1972,SUL,PSA,12,3,a,Cold Safe,A,SULPSA,1,4,3, ,1,6,2
1900,SUL,PSA,3,3,a,Cold Safe,A,SULPSA,1,5,3, ,1,3,2
1924,SUL,PSA,3,9,a,Cold Safe,A,SULPSA,1,6,3, ,1,1,2
1936,SUL,PSA,3,12,a,Cold Safe,A,SULPSA,1,7,3, ,1,7,2
1948,SUL,PSA,6,3,a,Cold Safe,A,SULPSA,1,8,3, ,1,5,2
1828,SUL,PAN,3,6,a,Cold Safe,A,SULPAN,2,2,3, ,4,7,1
1888,SUL,PAN,12,3,a,Cold Safe,A,SULPAN,2,3,3, ,4,3,1
1840,SUL,PAN,3,9,a,Cold Safe,A,SULPAN,2,4,3, ,4,6,1
1816,SUL,PAN,3,3,a,Cold Safe,A,SULPAN,2,5,3, ,4,1,1
1852,SUL,PAN,3,12,a,Cold Safe,A,SULPAN,2,6,3, ,4,5,1
1876,SUL,PAN,9,3,a,Cold Safe,A,SULPAN,2,7,3, ,4,4,1
1864,SUL,PAN,6,3,a,Cold Safe,A,SULPAN,2,8,3, ,4,2,1
400,BIR,SUL,3,9,a,Cold Safe,A,BIRSUL,3,2,3, ,1,6,1
376,BIR,SUL,3,3,a,Cold Safe,A,BIRSUL,3,3,3, ,1,5,1
412,BIR,SUL,3,12,a,Cold Safe,A,BIRSUL,3,4,3, ,1,7,1
448,BIR,SUL,12,3,a,Cold Safe,A,BIRSUL,3,5,3, ,1,3,1
388,BIR,SUL,3,6,a,Cold Safe,A,BIRSUL,3,6,3, ,1,2,1
424,BIR,SUL,6,3,a,Cold Safe,A,BIRSUL,3,7,3, ,1,4,1
436,BIR,SUL,9,3,a,Cold Safe,A,BIRSUL,3,8,3, ,1,1,1
808,PAL,PSA,9,3,a,Cold Safe,A,PALPSA,4,2,3, ,6,3,1
820,PAL,PSA,12,3,a,Cold Safe,A,PALPSA,4,3,3, ,6,4,1
796,PAL,PSA,6,3,a,Cold Safe,A,PALPSA,4,4,3, ,6,7,1
772,PAL,PSA,3,9,a,Cold Safe,A,PALPSA,4,5,3, ,6,6,1
748,PAL,PSA,3,3,a,Cold Safe,A,PALPSA,4,6,3, ,6,2,1
760,PAL,PSA,3,6,a,Cold Safe,A,PALPSA,4,7,3, ,6,5,1
784,PAL,PSA,3,12,a,Cold Safe,A,PALPSA,4,8,3, ,6,1,1
